"Open Time ET","Side","Qty Open","Symbol","Descrip","Avg Price Open","Qty Closed","Closed Time ET","Avg Price Closed","DD as %","DD $","DD Time ET","DD Quant","DD Worst Price","Trade P/L"
"2017-07-25 08:16:04","SHORT","7","AUD/NZD","AUD/NZD","1.0695","7","2017-07-25 20:57:31","1.0670","-0.15","-98.00","2017-07-25 11:45:00","-7","1.0714","127.00"
"2017-07-25 09:57:18","SHORT","5","EUR/USD","EUR/USD","1.1697","5","2017-07-25 10:49:56","1.1667","-0.01","-9.65","2017-07-25 10:00:00","-5","1.1699","153.00"
"2017-07-21 12:31:07","SHORT","5","EUR/GBP","EUR/GBP","0.8985","5","2017-07-21 16:27:18","0.8976","-0.09","-61.07","2017-07-21 13:26:00","-5","0.8995","58.00"
"2017-06-15 08:53:11","SHORT","9","USD/JPY","USD/JPY","111.1026","9","2017-07-21 10:57:01","111.1393","-4.67","-2747.29","2017-07-11 11:00:00","-9","114.4950","-30.00"
"2017-07-20 09:27:23","SHORT","5","EUR/CHF","EUR/CHF","1.1055","5","2017-07-21 09:29:36","1.1032","-0.27","-178.34","2017-07-21 02:53:00","-5","1.1088","122.00"
"2017-07-17 22:47:06","SHORT","10","AUD/NZD","AUD/NZD","1.0778","10","2017-07-20 11:17:18","1.0762","-0.77","-501.23","2017-07-19 21:41:00","-10","1.0846","117.00"
"2017-07-06 08:15:14","SHORT","5","EUR/JPY","EUR/JPY","128.9884","5","2017-07-19 09:59:20","128.6533","-1.35","-796.65","2017-07-11 10:57:00","-5","130.7670","150.00"
"2017-03-21 08:29:50","SHORT","10","GBP/AUD","GBP/AUD","1.6384","10","2017-07-19 09:56:01","1.6397","-11.02","-6580.38","2017-06-01 10:50:00","-6","1.7492","-103.00"
"2017-04-25 08:17:01","SHORT","10","EUR/AUD","EUR/AUD","1.4554","10","2017-07-18 20:43:47","1.4555","-7.22","-4311.70","2017-05-31 22:44:00","-7","1.5227","-10.00"
"2017-07-17 09:37:20","SHORT","5","AUD/NZD","AUD/NZD","1.0670","5","2017-07-17 17:47:53","1.0648","-0.03","-17.90","2017-07-17 11:49:00","-5","1.0675","81.00"
"2017-07-03 16:16:54","SHORT","5","EUR/JPY","EUR/JPY","128.8972","5","2017-07-05 22:02:54","128.1748","-0.13","-82.13","2017-07-05 03:46:00","-5","129.0830","319.00"
"2017-06-29 13:49:44","SHORT","5","AUD/NZD","AUD/NZD","1.0525","5","2017-06-30 08:16:24","1.0475","-0.05","-32.68","2017-06-29 14:50:00","-5","1.0534","184.00"
"2017-05-26 09:23:13","SHORT","9","NZD/CAD","NZD/CAD","0.9517","9","2017-06-28 14:07:50","0.9512","-2.55","-1666.84","2017-06-09 03:50:00","-9","0.9758","32.00"
"2017-02-24 13:05:22","SHORT","6","USD/CAD","USD/CAD","1.3100","6","2017-06-28 07:29:27","1.3078","-3.50","-2051.94","2017-06-02 05:18:00","-6","1.3547","97.00"
"2017-06-21 11:29:27","SHORT","5","NZD/JPY","NZD/JPY","80.5510","5","2017-06-21 12:42:51","80.3214","-0.01","-8.06","2017-06-21 11:33:00","-5","80.5690","103.00"
"2017-06-07 09:47:43","SHORT","8","NZD/USD","NZD/USD","0.7215","8","2017-06-21 12:05:01","0.7214","-0.90","-625.00","2017-06-14 10:50:00","-5","0.7319","11.00"
"2017-06-14 08:32:03","SHORT","5","NZD/JPY","NZD/JPY","79.8743","5","2017-06-14 15:01:11","79.5466","n/a","","","","","149.00"
"2017-06-14 10:03:28","SHORT","5","EUR/USD","EUR/USD","1.1278","5","2017-06-14 14:17:47","1.1249","-0.13","-87.80","2017-06-14 10:13:00","-5","1.1296","145.00"
"2017-06-09 10:24:50","SHORT","3","USD/JPY","USD/JPY","110.6885","3","2017-06-09 14:51:15","110.1983","-0.03","-21.65","2017-06-09 10:31:00","-3","110.7680","134.00"
"2017-05-31 09:16:41","SHORT","10","GBP/CAD","GBP/CAD","1.7377","10","2017-06-08 17:39:39","1.7233","-1.91","-1163.44","2017-06-08 04:03:00","-10","1.7534","1067.00"
"2017-06-05 11:21:55","SHORT","5","NZD/JPY","NZD/JPY","78.8564","5","2017-06-06 08:34:02","78.5153","-0.06","-35.47","2017-06-05 12:06:00","-5","78.9340","156.00"
"2017-05-26 09:28:58","SHORT","7","EUR/GBP","EUR/GBP","0.8712","7","2017-06-05 10:00:00","0.8696","-0.86","-505.10","2017-06-02 10:03:00","-7","0.8768","143.00"
"2017-05-19 10:40:07","SHORT","8","EUR/USD","EUR/USD","1.1202","8","2017-05-26 09:06:30","1.1175","-0.61","-376.00","2017-05-23 03:35:00","-5","1.1268","216.00"
"2017-04-11 11:47:53","SHORT","5","GBP/CHF","GBP/CHF","1.2568","5","2017-05-25 10:01:08","1.2582","-4.32","-2577.97","2017-05-10 02:27:00","-5","1.3069","-72.00"
"2017-05-22 11:26:52","SHORT","5","AUD/CAD","AUD/CAD","1.0094","5","2017-05-24 10:14:44","1.0051","-0.18","-106.84","2017-05-23 04:32:00","-5","1.0123","160.00"
