"Open Time E T","Side","Qty Open","Symbol","Description","Avg Price Open","Qty Closed","Closed Time E T","Avg Price Closed","D D As Pcnt","D D As Dlr","Drawdown Time E T","D D Quant","D D Worst Price","Trade P L","Equity"
"2018-10-22 09:33:55","SHORT",10,"EURGBP","EURGBP",0.8844,10,"2018-10-23 08:26:58",0.8809,-0.09,-118,"2018-10-22 10:07:00",10,0.8852,452,136258
"2018-10-19 10:30:39","SHORT",10,"GBPCAD","GBPCAD",1.7074,10,"2018-10-22 08:34:19",1.7014,-0.65,-885,"2018-10-19 12:48:00",10,1.7189,456,135806
"2018-10-17 09:02:27","SHORT",15,"NZDCHF","NZDCHF",0.6517,15,"2018-10-18 18:03:26",0.6498,-0.32,-438,"2018-10-18 08:53:00",15,0.6546,289,135350
"2018-10-18 09:21:00","SHORT",15,"AUDCHF","AUDCHF",0.7107,15,"2018-10-18 11:44:42",0.7088,0,0,"2000-01-01 00:00:00",0,0,292,135061
"2018-10-16 14:29:39","SHORT",10,"AUDUSD","AUDUSD",0.7141,10,"2018-10-17 07:55:37",0.712,-0.14,-190,"2018-10-17 04:18:00",10,0.716,204,134769
"2018-10-15 08:50:32","SHORT",15,"AUDCAD","AUDCAD",0.9292,15,"2018-10-15 10:58:33",0.9272,-0.23,-311,"2018-10-15 09:59:00",15,0.9317,231,134565
"2018-10-12 15:21:04","SHORT",10,"USDCAD","USDCAD",1.3042,10,"2018-10-12 16:55:01",1.3022,-0.01,-7,"2018-10-12 15:25:00",10,1.3042,151,134334
"2018-10-12 09:53:46","SHORT",15,"AUDNZD","AUDNZD",1.0939,15,"2018-10-12 14:43:08",1.092,-0.08,-110,"2018-10-12 10:15:00",15,1.0949,182,134183
"2018-10-09 09:17:25","SHORT",20,"GBPCHF","GBPCHF",1.3042,20,"2018-10-12 12:45:36",1.3031,-0.55,-741,"2018-10-12 03:05:00",10,1.3116,217,134001
"2018-10-11 09:38:38","SHORT",10,"EURCAD","EURCAD",1.509,10,"2018-10-12 08:44:10",1.5049,-0.27,-356,"2018-10-11 14:48:00",10,1.5135,322,133784
"2018-10-05 14:35:29","SHORT",15,"AUDNZD","AUDNZD",1.0953,15,"2018-10-10 17:44:59",1.093,-0.33,-438,"2018-10-09 03:01:00",15,1.0994,226,133462
"2018-09-27 09:38:22","SHORT",15,"USDJPY","USDJPY",113.4813,15,"2018-10-08 09:27:29",113.1343,-1.05,-1400,"2018-10-03 19:23:00",15,114.55,460,133236
"2018-10-01 09:49:23","SHORT",15,"CADCHF","CADCHF",0.7686,15,"2018-10-04 17:22:12",0.7675,-0.25,-333,"2018-10-03 13:16:00",10,0.772,175,132776
"2018-09-18 08:17:14","SHORT",20,"AUDCAD","AUDCAD",0.9377,20,"2018-09-28 08:29:59",0.9375,-1.42,-1878,"2018-09-26 14:07:00",20,0.9491,38,132601
"2018-09-26 17:09:08","SHORT",10,"EURCAD","EURCAD",1.5284,10,"2018-09-27 09:15:40",1.5253,-0.23,-302,"2018-09-26 22:35:00",10,1.5322,233,132563
"2018-09-20 09:05:00","SHORT",20,"CADJPY","CADJPY",86.955,20,"2018-09-26 15:58:34",86.6407,-0.67,-877,"2018-09-21 03:04:00",20,87.455,558,132330
"2018-09-26 09:51:58","SHORT",10,"USDCHF","USDCHF",0.9693,10,"2018-09-26 13:33:28",0.9654,-0.07,-90,"2018-09-26 10:12:00",10,0.9702,405,131772
"2018-09-18 17:16:01","SHORT",20,"USDJPY","USDJPY",112.3686,20,"2018-09-20 08:27:45",112.058,-0.11,-138,"2018-09-19 04:32:00",20,112.446,554,131367
"2018-09-12 09:08:57","SHORT",20,"AUDNZD","AUDNZD",1.0916,20,"2018-09-17 18:05:34",1.0904,-0.7,-912,"2018-09-13 07:28:00",20,1.098,157,130813
"2018-09-14 11:24:45","SHORT",20,"USDJPY","USDJPY",112.1411,20,"2018-09-17 15:12:19",111.8112,-0.04,-50,"2018-09-14 11:26:00",20,112.169,590,130656
"2018-09-11 19:02:08","SHORT",20,"CADJPY","CADJPY",85.4951,20,"2018-09-12 08:36:48",85.2836,-0.04,-48,"2018-09-11 19:06:00",20,85.522,380,130066
"2018-09-03 14:35:33","SHORT",25,"EURCAD","EURCAD",1.5215,25,"2018-09-11 14:45:13",1.5212,-2.39,-3100,"2018-09-06 10:43:00",25,1.5371,45,129686
"2018-09-10 20:13:11","SHORT",25,"USDCHF","USDCHF",0.975,25,"2018-09-11 12:45:09",0.973,-0.18,-227,"2018-09-10 21:43:00",25,0.9759,505,129641
"2018-09-05 12:56:08","SHORT",15,"NZDCAD","NZDCAD",0.8693,15,"2018-09-06 15:31:34",0.8664,-0.24,-314,"2018-09-06 11:47:00",15,0.872,334,129136
"2018-09-04 09:33:44","SHORT",20,"AUDNZD","AUDNZD",1.0959,20,"2018-09-05 09:17:02",1.0926,-0.68,-877,"2018-09-04 21:34:00",20,1.102,434,128802
"2018-08-31 11:05:20","SHORT",25,"USDCAD","USDCAD",1.3065,25,"2018-08-31 16:33:38",1.3045,-0.35,-448,"2018-08-31 15:29:00",25,1.3088,382,128368
"2018-08-23 08:45:53","SHORT",35,"CADJPY","CADJPY",85.1701,35,"2018-08-31 03:19:09",85.17,-3.4,-4347,"2018-08-29 19:43:00",35,86.584,0,127986
"2018-08-20 16:18:57","SHORT",25,"AUDNZD","AUDNZD",1.1052,25,"2018-08-21 08:21:15",1.1031,-0.05,-69,"2018-08-20 21:34:00",25,1.1056,353,127986
"2018-08-17 14:50:27","SHORT",25,"CADCHF","CADCHF",0.762,25,"2018-08-20 08:46:33",0.7603,-0.12,-152,"2018-08-20 05:10:00",25,0.7626,431,127633
"2018-08-16 15:42:19","SHORT",25,"USDCHF","USDCHF",0.997,25,"2018-08-17 08:57:44",0.9945,-0.17,-211,"2018-08-16 20:11:00",25,0.9978,617,127202
"2018-08-16 10:18:36","SHORT",25,"AUDNZD","AUDNZD",1.1029,25,"2018-08-17 08:14:15",1.1012,-0.06,-76,"2018-08-16 10:36:00",25,1.1033,284,126585
"2018-08-15 10:55:59","SHORT",25,"USDCAD","USDCAD",1.3169,25,"2018-08-15 12:18:26",1.3149,-0.08,-103,"2018-08-15 11:05:00",25,1.3175,378,126301
"2018-08-15 09:17:20","SHORT",25,"USDCHF","USDCHF",0.9972,25,"2018-08-15 10:24:29",0.9952,-0.09,-117,"2018-08-15 09:23:00",25,0.9977,513,125923
"2018-08-14 21:13:05","SHORT",25,"CADCHF","CADCHF",0.7622,25,"2018-08-15 09:16:18",0.7604,-0.18,-219,"2018-08-15 04:04:00",25,0.7631,463,125410
"2018-08-14 15:03:34","SHORT",25,"USDJPY","USDJPY",111.2109,25,"2018-08-15 08:24:18",111.0358,-0.4,-494,"2018-08-14 21:38:00",25,111.431,394,124947
"2018-08-10 11:51:20","SHORT",25,"USDCAD","USDCAD",1.3121,25,"2018-08-14 08:20:17",1.3077,-0.76,-946,"2018-08-13 04:12:00",25,1.3171,833,124553
"2017-04-13 11:44:22","SHORT",28,"EURCAD","EURCAD",1.4981,28,"2018-08-10 01:16:16",1.4981,-10.71,-13250,"2018-03-20 00:03:00",15,1.6154,3,123720
"2018-08-07 21:23:14","SHORT",20,"EURGBP","EURGBP",0.8968,20,"2018-08-10 01:14:11",0.8951,-1.36,-1680,"2018-08-08 21:28:00",20,0.903,429,123717
"2018-08-06 09:22:11","SHORT",20,"AUDCHF","AUDCHF",0.7368,20,"2018-08-09 09:36:34",0.7354,-0.58,-719,"2018-08-07 05:08:00",20,0.7402,275,123288
"2018-07-31 17:27:11","SHORT",15,"CADCHF","CADCHF",0.761,15,"2018-08-08 08:47:36",0.7603,-0.81,-997,"2018-08-07 03:53:00",15,0.7678,113,123013
"2018-08-02 14:39:03","SHORT",20,"USDCHF","USDCHF",0.9955,20,"2018-08-03 07:31:15",0.9934,-0.18,-223,"2018-08-03 04:01:00",20,0.9966,405,122900
"2018-07-30 09:02:01","SHORT",20,"CHFJPY","CHFJPY",112,20,"2018-08-02 08:37:48",111.9977,-1.71,-2100,"2018-07-31 10:49:00",20,113.184,4,122495
"2018-07-31 08:29:18","SHORT",20,"USDJPY","USDJPY",111.519,20,"2018-08-01 14:18:08",111.4152,-0.92,-1129,"2018-08-01 03:52:00",20,112.152,186,122491
"2018-07-31 10:57:39","SHORT",15,"AUDNZD","AUDNZD",1.0912,15,"2018-07-31 15:46:24",1.0892,-0.1,-121,"2018-07-31 11:02:00",15,1.0923,209,122305
"2018-06-26 08:42:49","SHORT",40,"AUDNZD","AUDNZD",1.0853,40,"2018-07-30 10:15:10",1.0853,-1.63,-1991,"2018-07-03 03:42:00",20,1.0992,11,122096
"2018-07-25 15:45:07","SHORT",20,"NZDUSD","NZDUSD",0.6839,20,"2018-07-26 05:45:59",0.6819,-0.19,-235,"2018-07-25 21:24:00",20,0.6851,391,122085
"2018-07-25 10:01:45","SHORT",20,"CADCHF","CADCHF",0.7588,20,"2018-07-25 10:53:48",0.7568,-0.08,-93,"2018-07-25 10:40:00",20,0.7593,403,121694
"2018-07-24 10:28:50","SHORT",20,"AUDCHF","AUDCHF",0.738,20,"2018-07-24 22:53:50",0.736,-0.3,-357,"2018-07-24 21:31:00",20,0.7397,398,121291
"2018-07-24 09:56:21","SHORT",20,"NZDUSD","NZDUSD",0.6812,20,"2018-07-24 13:18:14",0.6791,-0.12,-139,"2018-07-24 10:47:00",20,0.6819,411,120893
"2018-07-23 12:04:53","SHORT",20,"EURAUD","EURAUD",1.5851,20,"2018-07-23 17:06:19",1.5844,-0.11,-138,"2018-07-23 12:13:00",20,1.586,108,120482
"2018-07-11 10:56:12","SHORT",20,"USDJPY","USDJPY",111.3,20,"2018-07-22 19:56:37",111.099,-2.76,-3315,"2018-07-19 08:32:00",20,113.176,362,120374
"2018-07-19 10:33:47","SHORT",20,"EURAUD","EURAUD",1.5829,20,"2018-07-19 13:49:47",1.5809,-0.23,-273,"2018-07-19 13:04:00",20,1.5847,298,120012
"2018-07-19 08:56:02","SHORT",20,"USDCAD","USDCAD",1.3263,20,"2018-07-19 09:33:12",1.3243,-0.07,-83,"2018-07-19 08:59:00",20,1.3268,304,119714
"2018-07-18 09:47:15","SHORT",20,"NZDCAD","NZDCAD",0.8973,20,"2018-07-18 15:00:26",0.8956,-0.05,-63,"2018-07-18 10:42:00",20,0.8977,259,119410
"2018-07-17 12:51:29","SHORT",20,"USDCAD","USDCAD",1.3215,20,"2018-07-17 13:54:45",1.3195,-0.02,-26,"2018-07-17 12:53:00",20,1.3217,299,119151
"2018-07-16 23:43:52","SHORT",20,"CADJPY","CADJPY",85.653,20,"2018-07-17 11:40:58",85.449,-0.06,-66,"2018-07-17 01:32:00",20,85.69,362,118852
"2018-07-12 08:49:11","SHORT",10,"USDCHF","USDCHF",0.9984,10,"2018-07-16 10:05:34",0.9964,-0.71,-835,"2018-07-13 08:00:00",10,1.0068,202,118490
"2018-07-11 08:55:35","SHORT",20,"EURAUD","EURAUD",1.5868,20,"2018-07-11 10:04:45",1.5848,-0.18,-216,"2018-07-11 09:02:00",20,1.5882,301,118288
"2018-07-06 11:40:44","SHORT",18,"CADJPY","CADJPY",84.416,18,"2018-07-10 21:06:20",84.217,-0.7,-825,"2018-07-10 16:51:00",18,84.927,323,117987
"2018-07-10 14:56:09","SHORT",18,"NZDJPY","NZDJPY",76.12,18,"2018-07-10 17:25:12",75.8308,-0.02,-21,"2018-07-10 16:35:00",18,76.132,469,117664
"2018-07-04 10:34:59","SHORT",10,"GBPCHF","GBPCHF",1.3126,10,"2018-07-09 11:46:16",1.3124,-0.65,-757,"2018-07-09 09:33:00",10,1.3202,20,117195
"2018-07-05 10:36:06","SHORT",18,"CADCHF","CADCHF",0.7565,18,"2018-07-06 08:36:34",0.7545,-0.18,-210,"2018-07-06 08:31:00",18,0.7577,364,117175
"2018-07-05 08:51:30","SHORT",18,"EURJPY","EURJPY",129.541,18,"2018-07-05 09:36:59",129.34,-0.04,-42,"2018-07-05 08:54:00",18,129.566,327,116811
"2018-06-14 20:48:46","SHORT",18,"USDCAD","USDCAD",1.3123,18,"2018-07-03 21:22:21",1.3123,-3.04,-3538,"2018-06-27 15:19:00",18,1.3386,0,116484
"2018-07-02 09:14:15","SHORT",18,"USDCHF","USDCHF",0.996,18,"2018-07-02 16:10:25",0.9939,-0.09,-107,"2018-07-02 10:30:00",18,0.9966,374,116484
"2018-06-29 11:11:34","SHORT",18,"CHFJPY","CHFJPY",111.5958,18,"2018-07-02 09:01:15",111.346,-0.54,-620,"2018-07-01 22:27:00",18,111.98,405,116110
"2018-06-29 15:03:45","SHORT",18,"USDJPY","USDJPY",110.9157,18,"2018-06-29 16:02:57",110.677,-0.01,-13,"2018-06-29 15:05:00",18,110.924,388,115705
"2018-06-28 11:31:46","SHORT",18,"CADCHF","CADCHF",0.7534,18,"2018-06-28 14:39:48",0.7515,-0.01,-13,"2018-06-28 11:33:00",18,0.7535,354,115317
"2018-06-28 02:32:43","SHORT",18,"USDCHF","USDCHF",0.9985,18,"2018-06-28 10:06:44",0.9964,-0.13,-144,"2018-06-28 03:12:00",18,0.9992,372,114963
"2018-06-25 09:30:07","SHORT",20,"EURAUD","EURAUD",1.5753,20,"2018-06-27 07:45:29",1.5732,-0.98,-1126,"2018-06-26 21:48:00",20,1.5826,305,114591
"2018-06-22 09:00:41","SHORT",18,"AUDNZD","AUDNZD",1.0774,18,"2018-06-22 14:59:25",1.0754,-0.07,-83,"2018-06-22 09:17:00",18,1.078,249,114286
"2018-06-14 08:52:34","SHORT",20,"USDCHF","USDCHF",0.9894,20,"2018-06-22 03:00:07",0.9895,-1.69,-1928,"2018-06-18 03:18:00",20,0.999,-24,114037
"2018-06-21 10:57:34","SHORT",18,"GBPAUD","GBPAUD",1.7966,18,"2018-06-21 13:10:36",1.7947,-0.16,-186,"2018-06-21 11:27:00",18,1.798,253,114061
"2018-06-20 22:55:47","SHORT",18,"AUDNZD","AUDNZD",1.0768,18,"2018-06-21 08:56:09",1.0748,-0.08,-90,"2018-06-21 04:36:00",18,1.0775,252,113808
"2018-06-13 11:48:46","SHORT",18,"CADJPY","CADJPY",85.146,18,"2018-06-13 14:32:40",84.9507,-0.08,-86,"2018-06-13 12:10:00",18,85.199,317,113556
"2018-06-13 09:40:44","SHORT",18,"NZDCHF","NZDCHF",0.6942,18,"2018-06-13 14:10:17",0.6922,-0.03,-28,"2018-06-13 13:59:00",18,0.6944,364,113239
"2018-06-13 02:55:23","SHORT",18,"USDCAD","USDCAD",1.3037,18,"2018-06-13 08:23:11",1.3015,-0.12,-132,"2018-06-13 04:27:00",18,1.3047,304,112875
"2018-06-12 15:34:17","SHORT",18,"GBPAUD","GBPAUD",1.7661,18,"2018-06-13 03:00:12",1.7641,-0.23,-256,"2018-06-12 23:23:00",18,1.768,273,112571
"2018-06-12 11:59:43","SHORT",18,"GBPJPY","GBPJPY",147.8981,18,"2018-06-12 12:57:58",147.704,-0.11,-120,"2018-06-12 12:35:00",18,147.973,317,112298
"2018-06-11 12:16:46","SHORT",18,"EURJPY","EURJPY",129.72,18,"2018-06-11 22:16:35",129.52,-0.44,-494,"2018-06-11 19:53:00",18,130.013,327,111981
"2018-06-11 09:42:22","SHORT",18,"NZDCHF","NZDCHF",0.6946,18,"2018-06-11 11:23:27",0.6931,-0.02,-18,"2018-06-11 09:46:00",18,0.6947,270,111654
"2018-04-18 12:03:04","SHORT",18,"USDCHF","USDCHF",0.9829,18,"2018-06-07 03:23:52",0.983,-3.65,-4061,"2018-05-09 19:52:00",18,1.0056,-4,111384
"2018-06-04 10:30:02","SHORT",18,"NZDCAD","NZDCAD",0.9104,18,"2018-06-06 08:00:11",0.908,-0.59,-652,"2018-06-05 10:07:00",18,0.9149,335,111388
"2018-06-05 09:40:46","SHORT",18,"AUDCAD","AUDCAD",0.9897,18,"2018-06-05 14:55:22",0.9877,-0.36,-401,"2018-06-05 10:12:00",18,0.9925,273,111053
"2018-06-04 09:27:09","SHORT",18,"AUDCHF","AUDCHF",0.754,18,"2018-06-05 08:20:48",0.751,-0.43,-473,"2018-06-04 15:00:00",18,0.7565,540,110780
"2018-06-04 18:32:23","SHORT",18,"CADJPY","CADJPY",84.95,18,"2018-06-05 06:00:20",84.749,-0.26,-282,"2018-06-04 20:01:00",18,85.122,330,110240
"2018-06-01 08:43:26","SHORT",25,"USDJPY","USDJPY",109.62,25,"2018-06-01 14:30:18",109.44,-0.24,-257,"2018-06-01 10:00:00",25,109.733,411,109910
"2018-05-31 13:08:35","SHORT",15,"CHFJPY","CHFJPY",110.52,15,"2018-05-31 13:56:34",110.319,-0.07,-73,"2018-05-31 13:31:00",15,110.571,277,109499
"2018-05-30 11:31:59","SHORT",15,"NZDCHF","NZDCHF",0.6915,15,"2018-05-30 21:01:21",0.6895,-0.19,-209,"2018-05-30 11:34:00",15,0.6928,304,109222
"2018-05-30 11:32:13","SHORT",15,"CADCHF","CADCHF",0.7701,15,"2018-05-30 14:13:54",0.7682,-0.12,-134,"2018-05-30 11:53:00",15,0.771,291,108918
"2018-05-28 10:06:00","SHORT",10,"GBPCAD","GBPCAD",1.7289,10,"2018-05-29 13:55:25",1.7246,-0.3,-329,"2018-05-28 12:11:00",10,1.7332,332,108627
"2018-04-10 16:09:08","SHORT",20,"CADCHF","CADCHF",0.7625,20,"2018-05-25 16:57:08",0.7625,-4.41,-4781,"2018-05-11 02:38:00",20,0.7867,2,108295
"2018-05-24 14:40:51","SHORT",10,"AUDNZD","AUDNZD",1.0932,10,"2018-05-25 10:59:06",1.0913,-0.2,-212,"2018-05-25 07:11:00",10,1.0962,134,108293
"2018-05-24 09:45:44","SHORT",10,"USDCAD","USDCAD",1.2914,10,"2018-05-24 13:03:26",1.2884,-0.05,-50,"2018-05-24 09:47:00",10,1.292,235,108159
"2018-05-23 09:20:11","SHORT",10,"AUDNZD","AUDNZD",1.0939,10,"2018-05-23 09:55:33",1.092,-0.01,-13,"2018-05-23 09:22:00",10,1.0941,135,107924
"2018-05-09 10:17:07","SHORT",15,"CADJPY","CADJPY",85.6173,15,"2018-05-23 03:55:43",85.416,-1.84,-1977,"2018-05-22 04:01:00",15,87.104,275,107789
"2018-05-15 15:01:43","SHORT",15,"USDJPY","USDJPY",110.5283,15,"2018-05-22 23:01:34",110.455,-1.09,-1170,"2018-05-21 03:04:00",15,111.397,100,107514
"2018-05-22 14:48:18","SHORT",10,"AUDNZD","AUDNZD",1.0936,10,"2018-05-22 21:20:19",1.0918,-0.04,-41,"2018-05-22 19:05:00",10,1.0942,124,107414
"2018-05-21 08:45:09","SHORT",15,"AUDCHF","AUDCHF",0.7533,15,"2018-05-22 15:06:04",0.7523,-0.73,-779,"2018-05-22 03:03:00",15,0.7583,156,107290
"2018-05-18 10:40:04","SHORT",10,"NZDCAD","NZDCAD",0.8914,10,"2018-05-20 19:04:31",0.8896,-0.09,-93,"2018-05-20 18:01:00",10,0.8925,141,107134
"2018-05-16 13:54:05","SHORT",10,"AUDNZD","AUDNZD",1.0892,10,"2018-05-18 07:14:00",1.0873,-0.32,-342,"2018-05-17 02:58:00",10,1.094,131,106993
"2018-04-03 11:15:38","SHORT",10,"GBPCHF","GBPCHF",1.3478,10,"2018-05-16 03:25:29",1.3477,-3.36,-3589,"2018-04-18 03:09:00",10,1.3856,5,106862
"2018-05-14 10:54:49","SHORT",10,"AUDNZD","AUDNZD",1.0892,10,"2018-05-15 08:20:11",1.0863,-0.06,-64,"2018-05-14 21:16:00",10,1.0901,200,106857
"2018-05-09 08:42:27","SHORT",10,"GBPAUD","GBPAUD",1.8224,10,"2018-05-09 10:26:03",1.8179,-0.09,-95,"2018-05-09 09:19:00",10,1.8238,335,106657
"2018-05-07 15:12:01","SHORT",10,"NZDCAD","NZDCAD",0.9039,10,"2018-05-08 17:00:32",0.9025,-0.33,-352,"2018-05-08 04:04:00",10,0.9083,110,106322
"2018-05-08 10:46:59","SHORT",10,"USDCAD","USDCAD",1.297,10,"2018-05-08 12:13:43",1.295,-0.2,-212,"2018-05-08 11:11:00",10,1.2998,155,106212
"2018-05-03 10:49:25","SHORT",10,"EURGBP","EURGBP",0.8829,10,"2018-05-07 03:13:16",0.8809,-0.17,-182,"2018-05-04 16:59:00",10,0.8842,271,106057
"2018-05-01 14:31:37","SHORT",10,"CADJPY","CADJPY",85.412,10,"2018-05-03 07:35:38",85.213,-0.28,-300,"2018-05-02 03:28:00",10,85.738,182,105786
"2018-05-01 14:46:55","SHORT",10,"USDJPY","USDJPY",109.78,10,"2018-05-03 05:26:21",109.479,-0.22,-233,"2018-05-02 11:03:00",10,110.036,275,105604
"2018-01-19 16:15:24","SHORT",15,"GBPCAD","GBPCAD",1.7523,15,"2018-05-01 11:37:11",1.7524,-5.82,-6135,"2018-03-26 10:53:00",10,1.8381,-14,105329
"2018-04-30 22:14:09","SHORT",10,"AUDNZD","AUDNZD",1.0715,10,"2018-05-01 09:48:47",1.0698,-0.04,-40,"2018-05-01 00:42:00",10,1.0721,120,105343
"2018-04-27 12:57:09","SHORT",10,"EURGBP","EURGBP",0.879,10,"2018-04-30 10:30:47",0.8771,-0.49,-517,"2018-04-30 06:00:00",10,0.8827,259,105223
"2018-04-24 09:47:02","SHORT",10,"EURAUD","EURAUD",1.606,10,"2018-04-26 10:16:33",1.6031,-0.58,-611,"2018-04-25 02:54:00",10,1.6141,216,104964
"2018-04-25 14:50:42","SHORT",10,"CADJPY","CADJPY",85.09,10,"2018-04-26 10:09:21",84.89,-0.2,-204,"2018-04-25 21:12:00",10,85.311,183,104748
"2018-04-25 08:39:50","SHORT",5,"GBPAUD","GBPAUD",1.8439,5,"2018-04-25 16:11:35",1.8401,-0.04,-39,"2018-04-25 11:27:00",5,1.845,145,104565
"2018-03-30 08:19:15","SHORT",20,"NZDCHF","NZDCHF",0.6971,20,"2018-04-23 21:33:20",0.697,-2.96,-3086,"2018-04-13 02:49:00",20,0.7121,21,104420
"2018-04-09 14:22:32","SHORT",15,"NZDUSD","NZDUSD",0.7326,15,"2018-04-18 22:41:22",0.7313,-0.66,-691,"2018-04-13 04:24:00",10,0.7395,182,104399
"2018-02-01 08:38:22","SHORT",26,"EURAUD","EURAUD",1.5869,26,"2018-04-12 10:46:49",1.5877,-4.18,-4367,"2018-03-28 04:43:00",18,1.6192,-166,104217
"2018-02-05 09:49:48","SHORT",18,"USDCAD","USDCAD",1.269,18,"2018-04-09 12:06:28",1.269,-4.76,-4966,"2018-03-19 04:19:00",15,1.3125,1,104383
"2018-03-28 14:18:48","SHORT",10,"USDCHF","USDCHF",0.9568,10,"2018-03-30 02:27:15",0.9532,-0.16,-162,"2018-03-29 06:06:00",10,0.9584,378,104382
"2018-03-22 16:54:07","SHORT",8,"GBPAUD","GBPAUD",1.8345,8,"2018-03-29 08:31:19",1.8327,-0.89,-928,"2018-03-28 05:24:00",8,1.8509,110,104004
"2018-03-27 10:00:31","SHORT",8,"NZDJPY","NZDJPY",76.91,8,"2018-03-27 15:31:25",76.511,-0.11,-110,"2018-03-27 11:59:00",8,77.054,303,103894
"2018-03-23 08:40:59","SHORT",7,"CADCHF","CADCHF",0.7385,7,"2018-03-23 11:35:09",0.7368,-0.09,-97,"2018-03-23 09:35:00",7,0.7398,125,103591
"2018-03-19 15:07:41","SHORT",11,"GBPCHF","GBPCHF",1.3374,11,"2018-03-22 11:42:49",1.3344,-0.95,-983,"2018-03-22 08:01:00",11,1.3466,349,103466
"2018-03-20 14:53:28","SHORT",5,"USDCHF","USDCHF",0.9551,5,"2018-03-21 14:59:12",0.9505,-0.09,-97,"2018-03-20 16:14:00",5,0.9569,241,103117
"2018-03-21 08:45:57","SHORT",5,"GBPAUD","GBPAUD",1.8285,5,"2018-03-21 14:18:15",1.8195,-0.07,-69,"2018-03-21 09:18:00",5,1.8304,349,102876
"2018-03-02 10:42:00","SHORT",13,"AUDCAD","AUDCAD",1.0028,13,"2018-03-20 14:09:22",1.0053,-2.09,-2148,"2018-03-14 08:35:00",13,1.0243,-252,102527
"2018-03-14 09:08:37","SHORT",6,"AUDUSD","AUDUSD",0.7906,6,"2018-03-15 05:04:31",0.786,-0.02,-17,"2018-03-14 09:14:00",6,0.7909,278,102779
"2018-03-13 08:45:39","SHORT",10,"AUDUSD","AUDUSD",0.789,10,"2018-03-13 18:57:33",0.7855,-0.07,-77,"2018-03-13 10:06:00",10,0.7898,350,102501
